"system","broodYr","spawn","rec","rps"
"Igushik",2004,109650,1835270.97893206,16.737537427561
"Igushik",2005,365712,1579838.18055274,4.31989702430531
"Igushik",2006,305268,1005262.0027794,3.29304742973191
"Igushik",2007,415452,608854.701002182,1.46552357673614
"Igushik",2008,1054704,663699.945405408,0.629276029488281
"Igushik",2009,514188,941767.14386566,1.83156188760854
"Igushik",2010,518040,1714393.34055361,3.30938410268243
"Igushik",2011,421380,1985117.38538024,4.71099099477964
"Igushik",2012,193326,686078.818258711,3.54881815306121
"Wood",1963,721404,1632835.6902013,2.26341369080474
"Wood",1964,1076112,1286902.77710073,1.19588182001569
"Wood",1965,675156,2021718.74284877,2.99444682836081
"Wood",1966,1208682,2290779.78677707,1.89527087089663
"Wood",1967,515772,1054263.50231463,2.04404950698104
"Wood",1968,649344,1154367.15414343,1.77774362147556
"Wood",1969,604338,989847.971165265,1.63790456857796
"Wood",1970,1161964,2648101.6347012,2.2789876749204
"Wood",1971,851202,1425140.3788766,1.67426812774946
"Wood",1972,430602,1338679.25329861,3.10885516857472
"Wood",1973,330474,1460260.48499533,4.41868493435285
"Wood",1974,1708836,5893430.30998299,3.44879807657551
"Wood",1975,1270116,6290687.41151378,4.95284478859709
"Wood",1976,817008,6590536.14741133,8.06667272219039
"Wood",1977,561828,3824312.59826252,6.80690994087606
"Wood",1978,2267238,3117206.8107266,1.37489174525418
"Wood",1979,1706352,4154668.58018577,2.43482504206973
"Wood",1980,2969040,1471792.11761562,0.495713132061415
"Wood",1981,1233318,2231913.48074671,1.80968207773397
"Wood",1982,976470,2085370.56802225,2.13562174774673
"Wood",1983,1360968,3326753.3865653,2.44440235667943
"Wood",1984,1002792,2218822.19159381,2.2126444881828
"Wood",1985,939000,3304166.65396049,3.51881432796645
"Wood",1986,818652,4176304.8377082,5.10144095135442
"Wood",1987,1337172,2897914.16179317,2.16719626330283
"Wood",1988,866778,3978870.05699389,4.59041422024312
"Wood",1989,1186410,5106290.77222029,4.30398493962483
"Wood",1990,1069440,3555677.99017163,3.32480362635737
"Wood",1991,1159920,6110265.16020268,5.26783326453779
"Wood",1992,1286250,4539122.83785081,3.52895847451958
"Wood",1993,1176126,3267338.95541326,2.77805180347451
"Wood",1994,1471890,5887327.87008044,3.99984229125848
"Wood",1995,1482162,7844735.66396403,5.29276534141614
"Wood",1996,1649598,7529945.0305222,4.56471517940868
"Wood",1997,1512396,1237316.76078156,0.81811692227536
"Wood",1998,1755768,6866961.49929181,3.91108705665658
"Wood",1999,1512426,5621078.3180675,3.71659725372845
"Wood",2000,1300026,7238890.1115679,5.56826564358551
"Wood",2001,1458732,8311690.33283843,5.69788716010784
"Wood",2002,1283682,8408969.63703634,6.55066413413629
"Wood",2003,1459782,8339222.19054084,5.71264900549592
"Wood",2004,1543392,8064891.87526049,5.22543325043831
"Wood",2005,1496550,6718863.98256377,4.48956866296734
"Wood",2006,4008102,8034958.26381681,2.00467908846053
"Wood",2007,1528086,2825544.06280098,1.84907398065356
"Wood",2008,1724676,3220111.18150154,1.86708180638076
"Wood",2009,1319232,3719583.69677288,2.81950687731414
"Wood",2010,1804344,7124704.8242942,3.94863996238755
"Wood",2011,1098006,5649705.35531768,5.14542302621086
"Wood",2012,764211,4655418.44655568,6.09179722165171
"Nushagak",1963,234820.8018,214840.580156722,0.914912897451497
"Nushagak",1964,134852.6266,93342.3462088272,0.692180408808049
"Nushagak",1965,255793.5021,779753.691718512,3.0483717737821
"Nushagak",1966,233577.6147,701565.678678565,3.0035655581963
"Nushagak",1967,74002.81765,227033.084647458,3.0678978430419
"Nushagak",1968,142360.4153,344179.471621545,2.41766273929622
"Nushagak",1969,95805.0467,493692.39056527,5.15309378337028
"Nushagak",1970,452891.7581,988763.627680121,2.18322283414528
"Nushagak",1971,312699.1781,1010998.91204097,3.23313581501533
"Nushagak",1972,39850.56376,1147979.90927231,28.8071184183495
"Nushagak",1973,210600.7728,1380189.1844859,6.55358081613791
"Nushagak",1974,204190.1742,383622.793221916,1.87875246556265
"Nushagak",1975,832092.6013,5995148.83355701,7.20490582921977
"Nushagak",1976,520302.5868,4351923.97327764,8.36421744516615
"Nushagak",1977,611588.3606,3236088.56608596,5.2912854046326
"Nushagak",1978,734040.0845,1513724.71081875,2.0621826284185
"Nushagak",1979,551271.6622,1846152.62336911,3.34889810225603
"Nushagak",1980,3669136.414,1210265.69876664,0.329850286881878
"Nushagak",1981,1118872.875,1976756.70465016,1.76673932206119
"Nushagak",1982,664579.7666,1335148.49953981,2.00901165915786
